iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
1,17,Product,intermediate,I,401001,400,29489328,624,624,51572672,413179904,78,0,0.0,0.0,0.0,"I(Κ_1) * g(μ̃_19641,μ̃_19642,Κ_1) -> I(μ̃_19642,μ̃_19641)","I(μ̃_19642,μ̃_19641)",I(Κ_1),"g(μ̃_19641,μ̃_19642,Κ_1)","I(μ̃_19642,μ̃_19641)","μ̃,μ̃",;,"114,114",114 × 114,103968,0.00600185
1,17,Product,intermediate,I,146402,624,432,432,432,51572672,413179904,54,0,0.0,0.0,0.0,"I(μ̃_19642,μ̃_19641) * I(μ̃_19641,i_1) -> I(μ̃_19642,i_1)","I(μ̃_19642,i_1)","I(μ̃_19642,μ̃_19641)","I(μ̃_19641,i_1)","I(μ̃_19642,i_1)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,17,Tensor,leaf,C,18714,,,481264,481264,51572672,413179904,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_1,μ̃_19642;a_1i_1)","C(i_1,μ̃_19642;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,17,Product,intermediate,I,292909,432,481264,376,376,51572672,413179904,47,0,0.0,0.0,0.0,"I(μ̃_19642,i_1) * C(i_1,μ̃_19642;a_1i_1) -> I(i_1;a_1i_1)",I(i_1;a_1i_1),"I(μ̃_19642,i_1)","C(i_1,μ̃_19642;a_1i_1)",I(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,17,Constant,constant,_const,1715,,,8,8,51572672,413179904,1,,,,,2,2,,,,,,,scalar,8,1
1,17,Product,residual,R,50110,376,8,376,376,51572672,413179904,47,0,0.0,0.0,0.0,I(i_1;a_1i_1) * 2 -> R(i_1;a_1i_1),R(i_1;a_1i_1),I(i_1;a_1i_1),2,R(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,17,Permute,residual,R,66227,,,376,376,51572672,413179904,47,,,,,R(i_1;a_1i_1),R(i_1;a_1i_1),,,,"i,a",;i_1,"7,",7 × ?,,
1,18,Tensor,leaf,f,5755601,,,125584,125584,51572672,413179904,15698,12996,138.71107103388064,334.0375286392202,4.726761534856628,"f(μ̃_19643,μ̃_19644)","f(μ̃_19643,μ̃_19644)",,,,"μ̃,μ̃",;,"114,114",114 × 114,103968,1.20791
1,18,Product,intermediate,I,201247,125584,432,432,432,51572672,413179904,54,0,0.0,0.0,0.0,"f(μ̃_19643,μ̃_19644) * I(μ̃_19643,i_1) -> I(μ̃_19644,i_1)","I(μ̃_19644,i_1)","f(μ̃_19643,μ̃_19644)","I(μ̃_19643,i_1)","I(μ̃_19644,i_1)","μ̃,i",;,"114,7",114 × 7,6384,0.0676692
1,18,Tensor,leaf,C,11085,,,481264,481264,51572672,413179904,60158,55674,23856.23808923302,118674620.50711954,1176.0636923303477,"C(i_1,μ̃_19644;a_1i_1)","C(i_1,μ̃_19644;a_1i_1)",,,,"i,μ̃,a",;;i_1,"7,114,",7 × 114 × ?,,
1,18,Product,residual,R,251544,432,481264,376,376,51572672,413179904,47,0,0.0,0.0,0.0,"I(μ̃_19644,i_1) * C(i_1,μ̃_19644;a_1i_1) -> R(i_1;a_1i_1)",R(i_1;a_1i_1),"I(μ̃_19644,i_1)","C(i_1,μ̃_19644;a_1i_1)",R(i_1;a_1i_1),"i,a",;i_1,"7,",7 × ?,,
1,18,Permute,residual,R,35770,,,376,376,51572672,413179904,47,,,,,R(i_1;a_1i_1),R(i_1;a_1i_1),,,,"i,a",;i_1,"7,",7 × ?,,
1,19,Tensor,leaf,f,10286905,,,2088,2088,51572672,413179904,261,49,-3.436980213804995,3.19035087251424,0.6871376688643162,"f(i_1,i_2)","f(i_1,i_2)",,,,"i,i",;,"7,7",7 × 7,392,5.32653
