iter,term_idx,step_kind,kind,label,time_ns,left_B,right_B,result_B,alloc_B,hw_B,rss_B,nnz,checksum_nnz,checksum_sum,checksum_sumsq,checksum_max_abs,expr,target_expr,op_lhs,op_rhs,intermediate_label,index_labels,csv_pair_indices,shape_dense,shape_repr,dense_bytes,sparsity
2,36,Product,intermediate,I,49307295,5179792,5179792,24888,24888,414784640,1345941504,3111,2401,-0.4034115091377512,0.005206510842177461,0.025456986537300257,"I(i_4,i_3,μ̃_19701,μ̃_19700) * I(μ̃_19701,μ̃_19700,i_2,i_1) -> I(i_4,i_3,i_2,i_1)","I(i_4,i_3,i_2,i_1)","I(i_4,i_3,μ̃_19701,μ̃_19700)","I(μ̃_19701,μ̃_19700,i_2,i_1)","I(i_4,i_3,i_2,i_1)","i,i,i,i",;;;,"7,7,7,7",7 × 7 × 7 × 7,19208,1.29571
2,36,Product,intermediate,I,12267477,24888,5179792,5179792,5179792,419196880,1345941504,647474,636804,1152.7192351296565,26462.728795178216,19.211996898127275,"I(i_4,i_3,i_2,i_1) * I(μ̃_19704,μ̃_19702,i_4,i_3) -> I(μ̃_19704,μ̃_19702,i_2,i_1)","I(μ̃_19704,μ̃_19702,i_2,i_1)","I(i_4,i_3,i_2,i_1)","I(μ̃_19704,μ̃_19702,i_4,i_3)","I(μ̃_19704,μ̃_19702,i_2,i_1)","μ̃,μ̃,i,i",;;;,"114,114,7,7",114 × 114 × 7 × 7,5094432,1.01676
2,36,Product,intermediate,I,13339618,5179792,2226240,2226240,2226240,421423120,1345941504,278280,,,,,"I(μ̃_19704,μ̃_19702,i_2,i_1) * I(i_2,i_1,μ̃_19702;a_1i_1i_2) -> I(μ̃_19704,i_2,i_1;a_1i_1i_2)","I(μ̃_19704,i_2,i_1;a_1i_1i_2)","I(μ̃_19704,μ̃_19702,i_2,i_1)","I(i_2,i_1,μ̃_19702;a_1i_1i_2)","I(μ̃_19704,i_2,i_1;a_1i_1i_2)","μ̃,i,i,a",";;;i_1,i_2","114,7,7,",114 × 7 × 7 × ?,,
2,36,Product,residual,R,4623226,2226240,2226240,792440,792440,421423120,1345941504,99055,,,,,"I(μ̃_19704,i_2,i_1;a_1i_1i_2) * I(i_2,i_1,μ̃_19704;a_2i_1i_2) -> R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(μ̃_19704,i_2,i_1;a_1i_1i_2)","I(i_2,i_1,μ̃_19704;a_2i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,36,Permute,residual,R,603680,,,792440,792440,421423120,1345941504,99055,,,,,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,37,Product,intermediate,I,6413724,496,496,432,432,421423120,1345941504,54,0,0.0,0.0,0.0,"I(i_3,i_1,Κ_1) * I(i_4,i_2,Κ_1) -> I(i_4,i_3,i_2,i_1)","I(i_4,i_3,i_2,i_1)","I(i_3,i_1,Κ_1)","I(i_4,i_2,Κ_1)","I(i_4,i_3,i_2,i_1)","i,i,i,i",;;;,"7,7,7,7",7 × 7 × 7 × 7,19208,0.0224906
2,37,Product,intermediate,I,297020,432,5179792,1392,1392,421423120,1345941504,174,0,0.0,0.0,0.0,"I(i_4,i_3,i_2,i_1) * I(μ̃_19734,μ̃_19732,i_4,i_3) -> I(μ̃_19734,μ̃_19732,i_2,i_1)","I(μ̃_19734,μ̃_19732,i_2,i_1)","I(i_4,i_3,i_2,i_1)","I(μ̃_19734,μ̃_19732,i_4,i_3)","I(μ̃_19734,μ̃_19732,i_2,i_1)","μ̃,μ̃,i,i",;;;,"114,114,7,7",114 × 114 × 7 × 7,5094432,0.000273239
2,37,Product,intermediate,I,472103,1392,2226240,496,496,421423120,1345941504,62,,,,,"I(μ̃_19734,μ̃_19732,i_2,i_1) * I(i_2,i_1,μ̃_19732;a_1i_1i_2) -> I(μ̃_19734,i_1,i_2;a_1i_1i_2)","I(μ̃_19734,i_1,i_2;a_1i_1i_2)","I(μ̃_19734,μ̃_19732,i_2,i_1)","I(i_2,i_1,μ̃_19732;a_1i_1i_2)","I(μ̃_19734,i_1,i_2;a_1i_1i_2)","μ̃,i,i,a",";;;i_1,i_2","114,7,7,",114 × 7 × 7 × ?,,
2,37,Product,residual,R,416703,496,2226240,384,384,421423120,1345941504,48,,,,,"I(μ̃_19734,i_1,i_2;a_1i_1i_2) * I(i_2,i_1,μ̃_19734;a_2i_1i_2) -> R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(μ̃_19734,i_1,i_2;a_1i_1i_2)","I(i_2,i_1,μ̃_19734;a_2i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,37,Permute,residual,R,92395,,,384,384,421423120,1345941504,48,,,,,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,38,Product,intermediate,I,313888,432,400,400,400,421423120,1345941504,50,,,,,"I(i_4,i_3,i_2,i_1) * I(i_2,i_1,i_3;a_1i_1i_2) -> I(i_4,i_1,i_2;a_1i_1i_2)","I(i_4,i_1,i_2;a_1i_1i_2)","I(i_4,i_3,i_2,i_1)","I(i_2,i_1,i_3;a_1i_1i_2)","I(i_4,i_1,i_2;a_1i_1i_2)","i,i,i,a",";;;i_1,i_2","7,7,7,",7 × 7 × 7 × ?,,
2,38,Product,residual,R,346199,400,400,384,384,421423120,1345941504,48,,,,,"I(i_4,i_1,i_2;a_1i_1i_2) * I(i_2,i_1,i_4;a_2i_1i_2) -> R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","I(i_4,i_1,i_2;a_1i_1i_2)","I(i_2,i_1,i_4;a_2i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,38,Permute,residual,R,105744,,,384,384,421423120,1345941504,48,,,,,"R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)","R(i_2,i_1;a_2i_1i_2,a_1i_1i_2)",,,,"i,i,a,a",";;i_1,i_2;i_1,i_2","7,7,,",7 × 7 × ? × ?,,
2,39,Product,intermediate,I,108589297,83306800,5179792,334432,334432,421423120,1345941504,41804,39102,-0.10198417186162312,0.0041688011151493915,0.005800905353009018,"I(i_3,μ̃_19737,μ̃_19736,μ̃_19735) * I(μ̃_19736,μ̃_19735,i_1,i_2) -> I(i_3,μ̃_19737,i_1,i_2)","I(i_3,μ̃_19737,i_1,i_2)","I(i_3,μ̃_19737,μ̃_19736,μ̃_19735)","I(μ̃_19736,μ̃_19735,i_1,i_2)","I(i_3,μ̃_19737,i_1,i_2)","i,μ̃,i,i",;;;,"7,114,7,7",7 × 114 × 7 × 7,312816,1.0691
2,39,Tensor,leaf,C,17897,,,2207664,2207664,421423120,1345941504,275958,,,,,"C(i_2,i_1,μ̃_19737;a_1i_1i_2)","C(i_2,i_1,μ̃_19737;a_1i_1i_2)",,,,"i,i,μ̃,a",";;;i_1,i_2","7,7,114,",7 × 7 × 114 × ?,,
